Date,ED1 ,ED2 ,ED3 ,ED4 ,ED5 ,ED6 ,ED7 ,ED8 ,ED9 ,ED10 ,ED11 ,ED12 ,ED13 ,ED14 ,ED15 ,ED16 ,ED17 ,ED18 
1/4/2010,99.655,99.375,98.995,98.58,98.18,97.79,97.435,97.11,96.825,96.545,96.3,96.065,95.885,95.71,95.545,95.38,95.255,95.135
1/5/2010,99.665,99.42,99.055,98.66,98.28,97.905,97.555,97.225,96.935,96.655,96.41,96.175,95.995,95.825,95.66,95.495,95.375,95.255
1/6/2010,99.69,99.465,99.105,98.7,98.305,97.92,97.565,97.225,96.925,96.635,96.38,96.135,95.95,95.775,95.61,95.44,95.315,95.195
1/7/2010,99.695,99.47,99.105,98.69,98.28,97.885,97.525,97.185,96.885,96.595,96.335,96.09,95.905,95.73,95.565,95.4,95.275,95.155
1/8/2010,99.705,99.515,99.185,98.78,98.375,97.97,97.6,97.25,96.945,96.645,96.38,96.125,95.935,95.755,95.585,95.415,95.285,95.16
1/11/2010,99.71,99.53,99.22,98.83,98.425,98.02,97.645,97.29,96.98,96.675,96.4,96.135,95.935,95.75,95.575,95.4,95.265,95.14
1/12/2010,99.71,99.55,99.25,98.865,98.47,98.075,97.71,97.365,97.06,96.765,96.505,96.25,96.055,95.875,95.705,95.53,95.395,95.27
1/13/2010,99.705,99.525,99.21,98.81,98.41,98.02,97.66,97.32,97.02,96.73,96.47,96.215,96.02,95.835,95.66,95.48,95.345,95.215
1/14/2010,99.71,99.56,99.26,98.87,98.475,98.09,97.73,97.39,97.09,96.8,96.54,96.285,96.09,95.9,95.72,95.54,95.405,95.27
1/15/2010,99.715,99.58,99.29,98.915,98.53,98.155,97.805,97.47,97.175,96.88,96.615,96.355,96.155,95.96,95.78,95.595,95.46,95.325
1/19/2010,99.715,99.575,99.275,98.89,98.505,98.13,97.78,97.445,97.15,96.855,96.585,96.32,96.115,95.915,95.73,95.545,95.405,95.27
1/20/2010,99.72,99.585,99.285,98.905,98.52,98.145,97.8,97.47,97.175,96.885,96.62,96.365,96.165,95.97,95.785,95.6,95.465,95.33
1/21/2010,99.72,99.605,99.32,98.945,98.565,98.19,97.845,97.52,97.235,96.95,96.69,96.435,96.235,96.045,95.865,95.68,95.545,95.41
1/22/2010,99.705,99.595,99.335,98.975,98.605,98.235,97.89,97.56,97.265,96.975,96.705,96.445,96.24,96.045,95.865,95.685,95.55,95.415
1/25/2010,99.71,99.6,99.34,98.985,98.61,98.235,97.885,97.55,97.25,96.955,96.685,96.425,96.215,96.015,95.835,95.65,95.515,95.38
1/26/2010,99.71,99.595,99.345,98.995,98.62,98.245,97.89,97.55,97.25,96.955,96.69,96.43,96.22,96.02,95.84,95.655,95.52,95.38
1/27/2010,99.71,99.575,99.305,98.935,98.545,98.16,97.81,97.48,97.19,96.905,96.645,96.39,96.19,95.995,95.82,95.64,95.505,95.37
1/28/2010,99.71,99.595,99.34,98.98,98.585,98.195,97.835,97.495,97.2,96.91,96.65,96.395,96.19,95.995,95.815,95.635,95.495,95.355
1/29/2010,99.71,99.595,99.355,99.01,98.63,98.25,97.895,97.56,97.265,96.975,96.715,96.46,96.255,96.06,95.88,95.695,95.555,95.415
2/1/2010,99.71,99.595,99.33,98.98,98.6,98.225,97.87,97.535,97.245,96.955,96.69,96.43,96.225,96.03,95.85,95.67,95.53,95.39
2/2/2010,99.71,99.59,99.33,98.99,98.615,98.245,97.895,97.56,97.27,96.98,96.715,96.455,96.245,96.05,95.87,95.69,95.55,95.41
2/3/2010,99.71,99.58,99.31,98.96,98.585,98.21,97.86,97.53,97.235,96.945,96.68,96.415,96.205,96.005,95.825,95.64,95.5,95.36
2/4/2010,99.71,99.6,99.365,99.03,98.66,98.29,97.945,97.62,97.33,97.045,96.785,96.525,96.315,96.115,95.935,95.75,95.605,95.46
2/5/2010,99.7,99.595,99.395,99.09,98.75,98.4,98.06,97.735,97.445,97.155,96.89,96.625,96.415,96.21,96.025,95.835,95.69,95.54
2/8/2010,99.7,99.57,99.35,99.045,98.71,98.36,98.025,97.7,97.405,97.115,96.85,96.585,96.375,96.17,95.985,95.795,95.65,95.5
2/9/2010,99.705,99.575,99.34,99.025,98.68,98.32,97.975,97.645,97.35,97.055,96.79,96.53,96.32,96.12,95.935,95.75,95.605,95.455
