Date,ER1 ,ER2 ,ER3 ,ER4 ,ER5 ,ER6 ,ER7 ,ER8 ,ER9 ,ER10 ,ER11 ,ER12 ,ER13 ,ER14 ,ER15 ,ER16 ,ER17 ,ER18 
1/4/2010,99.245,98.885,98.515,98.18,97.915,97.675,97.475,97.28,97.145,97.02,96.91,96.79,96.695,96.59,96.485,96.365,96.285,96.19
1/5/2010,99.26,98.925,98.56,98.235,97.965,97.72,97.515,97.315,97.175,97.05,96.95,96.845,96.765,96.675,96.565,96.435,96.355,96.265
1/6/2010,99.27,98.94,98.58,98.255,97.98,97.725,97.52,97.32,97.18,97.055,96.955,96.85,96.77,96.675,96.57,96.45,96.365,96.27
1/7/2010,99.29,98.98,98.63,98.305,98.03,97.765,97.55,97.35,97.215,97.09,96.985,96.87,96.785,96.695,96.595,96.48,96.4,96.31
1/8/2010,99.295,98.995,98.655,98.34,98.065,97.795,97.57,97.36,97.22,97.09,96.99,96.88,96.8,96.705,96.605,96.485,96.4,96.31
1/11/2010,99.295,99.02,98.695,98.39,98.12,97.855,97.63,97.42,97.28,97.155,97.05,96.93,96.84,96.74,96.64,96.53,96.445,96.355
1/12/2010,99.305,99.035,98.715,98.415,98.155,97.895,97.67,97.465,97.32,97.19,97.075,96.945,96.855,96.755,96.655,96.535,96.46,96.365
1/13/2010,99.305,99.04,98.725,98.43,98.18,97.93,97.71,97.5,97.345,97.205,97.08,96.94,96.84,96.74,96.635,96.52,96.435,96.34
1/14/2010,99.32,99.065,98.755,98.46,98.205,97.945,97.72,97.5,97.34,97.195,97.075,96.935,96.84,96.735,96.635,96.52,96.435,96.335
1/15/2010,99.33,99.075,98.775,98.495,98.25,97.995,97.77,97.55,97.39,97.245,97.12,96.98,96.88,96.77,96.66,96.53,96.445,96.345
1/18/2010,99.33,99.085,98.785,98.505,98.265,98.015,97.795,97.58,97.42,97.275,97.145,97,96.895,96.78,96.665,96.54,96.45,96.345
1/19/2010,99.325,99.055,98.74,98.455,98.21,97.96,97.745,97.54,97.385,97.245,97.12,96.98,96.88,96.775,96.665,96.54,96.455,96.35
1/20/2010,99.33,99.075,98.775,98.49,98.25,98.01,97.805,97.605,97.45,97.305,97.18,97.035,96.925,96.805,96.69,96.57,96.485,96.385
1/21/2010,99.325,99.085,98.795,98.51,98.26,98.015,97.805,97.6,97.445,97.295,97.165,97.02,96.915,96.805,96.7,96.585,96.5,96.4
1/22/2010,99.315,99.09,98.815,98.535,98.28,98.03,97.82,97.62,97.465,97.31,97.175,97.025,96.915,96.8,96.69,96.565,96.48,96.38
1/25/2010,99.32,99.105,98.83,98.545,98.295,98.055,97.845,97.645,97.49,97.335,97.195,97.045,96.935,96.82,96.7,96.575,96.49,96.39
1/26/2010,99.315,99.08,98.81,98.535,98.295,98.055,97.85,97.65,97.49,97.335,97.195,97.045,96.935,96.825,96.71,96.59,96.5,96.4
