Date,CS,UBS,Unicredit,BancoSantander,BNP,Intesa,SocGen,BBVA
1/1/2010,62.33,81.065,95.462,82.696,60.839,60.404,75.929,84.801
1/4/2010,59.482,79.917,92.358,79.021,59.543,57.563,75.817,81.109
1/5/2010,57.29,78.393,87.01,76.89,57.312,53.17,73.005,77.792
1/6/2010,55.647,75.315,85.842,75.081,56.081,52.145,69.713,75.309
1/7/2010,54.587,73.157,83.455,72.208,52.64,50.229,68.767,71.414
1/8/2010,53.922,70.813,78.574,71.345,52.432,49.603,66.65,70.493
1/11/2010,52.264,67.226,73.063,65.97,50.041,48.728,61.578,67.305
1/12/2010,55.682,69.59,77.574,71.416,53.347,54.252,63.932,71.883
1/13/2010,58.759,71.702,78.625,72.573,55.655,58.189,66.535,74.375
1/14/2010,60.808,75.314,81.25,76.94,56.285,62.559,66.891,78.403
1/15/2010,62.46,74.989,83.373,87.392,59.924,65.079,70.544,87.899
1/18/2010,65.89,80.248,86.598,87.778,61.194,65.462,70.906,89.661
1/19/2010,65.145,78.811,87.563,88.07,61.903,67.556,68.729,89.779
1/20/2010,66.716,82.536,98.456,102.754,63.592,81.21,72.62,103.475
1/21/2010,69.495,86.772,105.439,107.634,65.284,84.121,74.84,108.107
1/22/2010,72.68,90.883,107.889,110.723,69.493,85.988,79.498,109.35
1/25/2010,70.386,87.029,100.639,106.446,63.736,80.895,74.515,106.389
1/26/2010,68.084,83.721,101.264,106.832,62.922,80.474,72.941,106.522
1/27/2010,70.455,84.758,101.782,107.757,63.761,82.115,76.236,107.919
1/28/2010,71.375,89.635,109.099,113.04,68.058,86.581,85.701,114.092
1/29/2010,74.211,93.65,110.452,120.178,71.355,88.906,89.14,120.719
2/1/2010,77.229,99.154,107.975,125.079,72.297,83.911,91.866,124.596
2/2/2010,74.838,96.546,105.097,117.139,71.284,82.27,89.294,118.299
2/3/2010,74.838,97.099,108.964,125.939,72.856,86.616,90.518,125.767
2/4/2010,82.492,103.722,121.936,139.713,77.025,94.438,98.995,139.686
2/5/2010,85.258,107.341,124.934,136.9,79.485,95.776,101.446,137.534
2/8/2010,86.673,107.647,133.03,147.773,81.771,104.362,103.48,148.35
2/9/2010,85.917,107.842,134.358,144.381,83.016,98.29,103.337,144.78
2/10/2010,84.502,104.117,116.548,129.748,81.249,88.642,95.505,131.439
2/11/2010,82.498,104.021,112.549,128.792,79.96,86.492,95.703,128.836
2/12/2010,86.129,110.155,118.97,130.109,87.39,91.333,106.529,130.347
2/15/2010,87.317,109.374,118.71,130.944,88.29,91.321,107.373,131.104
2/16/2010,89.812,112.207,120.626,131.031,89.838,93.873,109.15,132.145
2/17/2010,86.252,109.432,115.942,126.547,87.73,90.269,106.243,128.14
2/18/2010,85.158,108.095,115.457,124.276,86.041,89.852,105.246,125.807
2/19/2010,82.82,104.273,111.058,119.87,83.087,86.574,102.604,120.205
2/22/2010,80.135,101.355,108.952,113.807,81.437,83.224,99.096,117.774
2/23/2010,81.569,102.515,110.922,117.142,83.684,83.982,101.939,118.997
2/24/2010,82.705,104.195,112.592,122.013,86.444,86.586,105.096,122.122
2/25/2010,85.422,106.072,116.291,125.738,85.186,88.303,105.678,125.951
2/26/2010,83.016,104.222,111.324,121.696,82.663,83.109,102.708,121.909
3/1/2010,80.226,102.19,106.414,115.898,79.667,80.894,98.736,117.998
3/2/2010,76.969,97.676,98.009,109.964,77.628,76.652,93.478,111.51
3/3/2010,76.442,95.635,95.515,101.656,76.007,74.343,91.499,108
3/4/2010,73.27,93.679,93.812,101.447,73.941,74.032,89.83,104.969
3/5/2010,71.677,88.704,92.142,99.536,73.756,72.532,88.545,100.876
3/8/2010,66.551,84.599,88.279,95.337,69.812,68.861,82.587,97.612
3/9/2010,68.053,86.069,89.19,98.47,70.037,69.363,83.356,100.945
3/10/2010,66.524,84.423,86.149,96.385,66.636,66.915,80.252,98.708
3/11/2010,67.878,84.959,87.182,96.632,67.04,66.905,81.152,99.957
3/12/2010,67.09,85.024,86.829,96.88,66.375,67.195,81.259,99.724
3/15/2010,69.222,86.589,87.008,99.726,68.837,69.797,83.611,102.195
3/16/2010,69.021,85.824,84.789,99.467,68.116,68.187,82.962,101.239
3/17/2010,67.459,82.86,80.968,95.627,66.481,65.955,79.85,95.863
3/18/2010,69.087,84.577,84.026,97.205,67.446,67.706,81.787,98.87
3/19/2010,70.956,87.579,85.57,98.767,69.192,70.356,84.052,100.583
3/22/2010,72.544,90.03,88.561,103.12,71.406,73.974,86.157,104.3
3/23/2010,73.739,88.564,88.459,102.869,72.668,72.238,85.191,105.48
3/24/2010,73.132,86.155,86.409,105.645,70.985,70.373,84.083,108.964
3/25/2010,73.548,87.931,87.918,106.868,70.62,71.031,84.65,109.195
3/26/2010,73.234,85.414,85.277,105.365,70.028,68.907,84.273,108.285
3/29/2010,72.546,87.612,83.812,105.302,69.059,68.073,82.871,108.327
3/30/2010,72.752,85.605,83.66,105.55,69.245,68.333,82.64,107.536
3/31/2010,74.211,86.162,84.614,107.145,70.186,69.424,84.201,109.254
4/1/2010,75.117,87.714,85.857,106.966,70.119,69.861,83.621,109.281
4/2/2010,73.315,85.985,84.493,103.313,68.745,69.172,82.813,106.847
4/5/2010,74.658,86.378,85.479,107.817,70.284,70.547,84.113,109.506
4/6/2010,77.744,87.017,85.487,107.164,70.181,71.378,83.463,110.538
4/7/2010,79.323,88.956,88.441,112.091,71.258,77.858,83.507,114.785
4/8/2010,80.554,90.071,90.496,116.043,73.625,77.224,87.445,120.317
