Date,IT10,DE10,DE2,DE5,DE30,UK10,CA10,CA5,CA2,US10,US2,US5,US30
1/4/2010,115.22,121.34,107.965,115.73,97.06,114.92,117.96,113.09,103.62,115.53125,108.2578125,114.546875,119.6875
1/5/2010,115.25,121.44,108.035,115.86,97,114.41,118.38,113.35,103.75,116.203125,108.4140625,114.9453125,121.78125
1/6/2010,115.11,121.23,108.035,115.77,96.68,114.04,118.05,113.23,103.76,115.96875,108.4453125,114.90625,120.15625
1/7/2010,115.38,121.44,108.1,115.92,96.94,114.09,117.88,113.25,103.75,115.84375,108.390625,114.796875,121.75
1/8/2010,115.55,121.4,108.15,115.95,97,114.01,118.28,113.46,103.88,116.03125,108.5234375,115.0078125,122.71875
1/11/2010,115.74,121.71,108.205,116.09,97.08,114.72,118.14,113.52,103.91,116.03125,108.578125,115.03125,122.28125
1/12/2010,115.78,122.14,108.245,116.29,97.6,115.2,118.67,113.72,103.95,116.75,108.6328125,115.3984375,123.375
1/13/2010,115.49,122.2,108.305,116.42,97.4,115.01,118.4,113.47,103.85,116.390625,108.5546875,115.171875,124.15625
1/14/2010,115.41,122.24,108.36,116.53,97.52,114.77,118.7,113.55,103.87,116.75,108.640625,115.4296875,124.125
1/15/2010,115.6,122.57,108.44,116.72,98.18,115.25,119.24,113.8,103.93,117.28125,108.7578125,115.734375,123.3125
1/18/2010,115.82,122.72,108.43,116.73,98.4,115.2,119.43,113.82,103.92,117.078125,108.703125,115.5703125,123.125
1/19/2010,115.8,122.48,108.355,116.58,97.92,114.43,119.28,113.88,103.97,117.40625,108.7421875,115.7578125,123.4375
1/20/2010,115.72,123.04,108.47,116.97,98.52,114.61,119.86,114.21,104.06,117.8125,108.828125,116.046875,123.1875
1/21/2010,115.63,123.15,108.505,117.08,98.58,115.37,120.21,114.36,104.09,117.90625,108.8984375,116.1875,124.375
1/22/2010,115.72,123.15,108.54,117.11,98.82,115.48,120.39,114.55,104.11,117.734375,108.8984375,116.125,123.34375
