Date,EZ-2,EZ-5,EZ-10,US-2,US-5,US-10
1/1/2010,1.67,2.15,2.4425,1.5827,2.35,2.8239
1/4/2010,1.68,2.16,2.441,1.5398,2.3475,2.7818
1/5/2010,1.7025,2.1725,2.4575,1.5556,2.35,2.7937
1/6/2010,1.73,2.195,2.488,1.5811,2.405,2.8445
1/7/2010,1.765,2.22,2.488,1.6155,2.3545,2.8551
1/8/2010,1.76,2.205,2.467,1.6061,2.392,2.849
1/11/2010,1.756,2.195,2.468,1.5933,2.329,2.7926
1/12/2010,1.743,2.171,2.446,1.5998,2.33,2.7793
1/13/2010,1.74,2.15,2.415,1.6311,2.29,2.7587
1/14/2010,1.7308,2.1338,2.3928,1.5926,2.273,2.7236
1/15/2010,1.7,2.103,2.368,1.567,2.275,2.73
1/18/2010,1.689,2.088,2.36,1.6592,2.31,2.7249
1/19/2010,1.76,2.075,2.355,1.6447,2.295,2.7032
1/20/2010,1.725,2.09,2.355,1.6142,2.212,2.6709
1/21/2010,1.6895,2.085,2.34,1.5514,2.1815,2.6504
1/22/2010,1.6995,2.047,2.311,1.5878,2.209,2.6706
1/25/2010,1.6425,2.0275,2.2875,1.6094,2.205,2.6893
1/26/2010,1.66,2.0288,2.2925,1.5765,2.21,2.6851
1/27/2010,1.615,1.9575,2.265,1.5506,2.232,2.6984
1/28/2010,1.6125,1.915,2.245,1.5259,2.134,2.6895
1/29/2010,1.51,1.895,2.2982,1.5722,2.244,2.7591
2/1/2010,1.5325,1.885,2.2365,1.6279,2.27,2.7638
2/2/2010,1.505,1.917,2.27,1.6293,2.29,2.7536
2/3/2010,1.605,1.92,2.27,1.6047,2.2295,2.6994
2/4/2010,1.506,1.896,2.253,1.5083,2.151,2.6342
2/5/2010,1.4375,1.8125,2.1925,1.4932,2.1355,2.6228
2/8/2010,1.4775,1.835,2.21,1.5536,2.191,2.659
2/9/2010,1.47,1.83,2.205,1.5314,2.1725,2.6555
2/10/2010,1.485,1.82,2.195,1.5546,2.222,2.6451
2/11/2010,1.543,1.874,2.226,1.5402,2.169,2.6223
2/12/2010,1.5475,1.857,2.205,1.53,2.198,2.62
2/15/2010,1.56,1.869,2.2125,1.5769,2.175,2.626
2/16/2010,1.5225,1.8565,2.2175,1.6102,2.217,2.6507
2/17/2010,1.584,1.852,2.215,1.6832,2.232,2.6818
2/18/2010,1.565,1.852,2.215,1.6303,2.1615,2.6555
2/19/2010,1.5525,1.862,2.208,1.5498,2.187,2.6428
2/22/2010,1.5475,1.8575,2.2138,1.5249,2.152,2.5841
2/23/2010,1.54,1.8313,2.1813,1.4981,2.134,2.576
2/24/2010,1.6088,1.8638,2.2088,1.4336,2.06,2.5325
2/25/2010,1.509,1.823,2.187,1.44,2.04,2.536
2/26/2010,1.497,1.821,2.183,1.4321,2.052,2.5208
3/1/2010,1.475,1.82,2.2,1.4322,2.055,2.5297
3/2/2010,1.504,1.8415,2.226,1.4615,2.07,2.5372
3/3/2010,1.51,1.864,2.248,1.4857,2.093,2.5182
3/4/2010,1.52,1.875,2.2425,1.4951,2.105,2.5777
3/5/2010,1.52,1.87,2.26,1.4894,2.147,2.6026
3/8/2010,1.54,1.87,2.245,1.4962,2.105,2.6073
3/9/2010,1.54,1.87,2.245,1.5035,2.12,2.598
3/10/2010,1.54,1.87,2.245,1.5166,2.108,2.5926
3/11/2010,1.55,1.845,2.22,1.5534,2.133,2.6134
3/12/2010,1.5659,1.8448,2.214,1.526,2.111,2.5967
3/15/2010,1.57,1.852,2.218,1.5264,2.111,2.5901
3/16/2010,1.591,1.859,2.214,1.5437,2.141,2.6129
3/17/2010,1.5875,1.835,2.203,1.5077,2.121,2.5834
3/18/2010,1.5695,1.8295,2.1855,1.4546,2.071,2.5714
3/19/2010,1.5835,1.819,2.176,1.4385,2.051,2.5545
3/22/2010,1.552,1.814,2.178,1.46,2.0425,2.5689
3/23/2010,1.5825,1.81,2.17,1.4059,2.056,2.5648
3/24/2010,1.543,1.7905,2.153,1.4071,2.061,2.5633
3/25/2010,1.555,1.8,2.165,1.4177,2.051,2.5476
3/26/2010,1.5675,1.837,2.177,1.39,2.046,2.5376
3/29/2010,1.6,1.823,2.16,1.424,2.045,2.5369
3/30/2010,1.657,1.822,2.159,1.484,2.115,2.5707
3/31/2010,1.699,1.877,2.187,1.4989,2.146,2.6094
4/1/2010,1.8125,1.9025,2.2025,1.526,2.161,2.6141
4/2/2010,1.83,1.93,2.205,1.5375,2.211,2.666
4/5/2010,1.83,1.93,2.2075,1.5583,2.191,2.66
4/6/2010,1.87,1.947,2.21,1.581,2.231,2.6755
4/7/2010,1.858,1.935,2.207,1.5967,2.231,2.6796
4/8/2010,1.843,1.92,2.182,1.6095,2.241,2.7022
4/9/2010,1.84,1.957,2.18,1.6207,2.24,2.7045
4/12/2010,1.837,1.913,2.17,1.6007,2.23,2.6815
4/13/2010,1.852,1.933,2.159,1.581,2.227,2.7077
4/14/2010,1.8425,1.919,2.165,1.6001,2.253,2.7263
4/15/2010,1.83,1.93,2.17,1.579,2.2175,2.694
4/16/2010,1.835,1.93,2.155,1.578,2.2285,2.6954
4/19/2010,1.83,1.8935,2.125,1.6533,2.264,2.7135
4/20/2010,1.816,1.891,2.133,1.6418,2.268,2.7183
4/21/2010,1.78,1.893,2.154,1.661,2.236,2.7031
4/22/2010,1.845,1.855,2.155,1.6881,2.292,2.7406
4/23/2010,1.86,1.945,2.19,1.6638,2.269,2.7459
4/26/2010,1.87,1.919,2.183,1.6376,2.261,2.7232
4/27/2010,1.784,1.892,2.161,1.656,2.284,2.7642
4/28/2010,1.761,1.873,2.153,1.7275,2.3205,2.8004
4/29/2010,1.7675,1.8838,2.15,1.7378,2.288,2.766
4/30/2010,1.7575,1.856,2.152,1.7155,2.309,2.7747
5/3/2010,1.759,1.86,2.17,1.7366,2.2685,2.6986
5/4/2010,1.779,1.875,2.173,1.6609,2.227,2.6637
5/5/2010,1.749,1.855,2.15,1.5754,2.164,2.5549
5/6/2010,1.705,1.83,2.13,1.5283,2.131,2.5975
5/7/2010,1.634,1.734,2.101,1.5588,2.207,2.6736
5/10/2010,1.745,1.86,2.205,1.6025,2.249,2.6973
5/11/2010,1.74,1.8375,2.215,1.6313,2.285,2.7548
5/12/2010,1.75,1.8425,2.195,1.616,2.263,2.7126
