Date,SFR1 ,SFR2 ,SFR3 ,SFR4 ,SFR5 ,SFR6 ,SFR7 ,SFR8 ,SFR9 ,SFR10 ,SFR11 ,SFR12 ,SFR13 ,SFR14 ,SFR15 ,SFR16 ,SFR17 ,SFR18 
5/4/2018,97.91,97.79,97.645,97.535,97.435,97.375,97.32,97.3,97.29,97.285,97.265,97.27,97.27,97.265,97.25,97.245,97.24,97.235
5/7/2018,98.025,97.84,97.69,97.56,97.46,97.385,97.325,97.29,97.265,97.26,97.24,97.245,97.245,97.24,97.225,97.22,97.215,97.21
5/8/2018,98.02,97.84,97.685,97.55,97.45,97.375,97.315,97.28,97.255,97.25,97.23,97.235,97.235,97.23,97.215,97.21,97.205,97.2
5/9/2018,98.02,97.84,97.68,97.535,97.435,97.355,97.29,97.255,97.23,97.225,97.205,97.21,97.21,97.205,97.19,97.185,97.18,97.175
5/10/2018,98.01,97.825,97.66,97.515,97.415,97.335,97.27,97.235,97.21,97.205,97.185,97.19,97.19,97.185,97.17,97.165,97.16,97.155
5/11/2018,98.005,97.815,97.64,97.5,97.4,97.32,97.255,97.22,97.195,97.19,97.17,97.175,97.175,97.17,97.155,97.15,97.145,97.14
5/14/2018,98.015,97.825,97.645,97.5,97.4,97.32,97.255,97.22,97.19,97.185,97.165,97.17,97.17,97.165,97.15,97.145,97.14,97.135
5/15/2018,98.005,97.81,97.635,97.48,97.37,97.29,97.225,97.19,97.16,97.155,97.135,97.14,97.14,97.135,97.12,97.115,97.11,97.105
5/16/2018,98,97.805,97.635,97.48,97.365,97.28,97.215,97.18,97.15,97.145,97.125,97.13,97.13,97.125,97.11,97.105,97.1,97.095
5/17/2018,97.9975,97.805,97.635,97.48,97.365,97.275,97.21,97.17,97.135,97.13,97.11,97.115,97.115,97.11,97.095,97.09,97.085,97.08
5/18/2018,98,97.815,97.645,97.495,97.385,97.3,97.235,97.195,97.16,97.155,97.135,97.14,97.14,97.135,97.12,97.115,97.11,97.105
5/21/2018,97.99,97.8,97.635,97.485,97.375,97.29,97.225,97.18,97.145,97.14,97.12,97.125,97.125,97.12,97.105,97.1,97.095,97.09
5/22/2018,98,97.81,97.645,97.495,97.385,97.3,97.235,97.19,97.155,97.15,97.13,97.135,97.135,97.13,97.115,97.11,97.105,97.1
5/23/2018,98.035,97.845,97.695,97.545,97.435,97.35,97.285,97.24,97.205,97.2,97.18,97.185,97.185,97.18,97.165,97.16,97.155,97.15
