Date,IT10,DE10,DE2,DE5,DE30,UK10,CA10,CA5,CA2,US10,US2,US5,US30
1/1/2010,4.142,3.387,1.332,2.423,4.112,4.015,3.61,2.769,1.472,3.835,1.1356,2.6788,4.6281
1/4/2010,4.108,3.391,1.347,2.426,4.079,3.964,3.607,2.761,1.459,3.8155,1.0638,2.635,4.6431
1/5/2010,4.101,3.373,1.286,2.391,4.083,4.016,3.565,2.715,1.39,3.7608,1.008,2.5611,4.6091
1/6/2010,4.12,3.381,1.294,2.412,4.115,4.053,3.616,2.738,1.391,3.8215,0.992,2.5913,4.6875
1/7/2010,4.094,3.37,1.264,2.388,4.107,4.052,3.637,2.753,1.385,3.8235,1.024,2.6115,4.6855
1/8/2010,4.078,3.385,1.244,2.39,4.111,4.063,3.6,2.708,1.311,3.8297,0.9759,2.5912,4.715
1/11/2010,4.057,3.347,1.225,2.361,4.103,3.98,3.609,2.701,1.291,3.818,0.9357,2.5575,4.7314
1/12/2010,4.055,3.313,1.21,2.331,4.075,3.934,3.554,2.67,1.269,3.7108,0.9034,2.4735,4.6171
1/13/2010,4.089,3.303,1.198,2.419,4.086,3.959,3.598,2.713,1.328,3.7908,0.9597,2.5372,4.712
1/14/2010,4.104,3.298,1.179,2.401,4.069,3.982,3.555,2.697,1.322,3.7382,0.9193,2.4935,4.6271
1/15/2010,4.073,3.262,1.135,2.361,4.028,3.938,3.499,2.645,1.286,3.6744,0.8621,2.4159,4.5814
1/18/2010,4.06,3.248,1.141,2.359,4.019,3.937,3.475,2.62,1.274,3.6745,0.8619,2.4158,4.5814
1/19/2010,4.063,3.277,1.178,2.391,4.041,4.026,3.486,2.615,1.269,3.6919,0.8862,2.446,4.5873
1/20/2010,4.075,3.223,1.134,2.323,4.017,4.014,3.425,2.551,1.206,3.6474,0.8698,2.4123,4.5342
1/21/2010,4.075,3.207,1.12,2.3,4.009,3.926,3.392,2.508,1.189,3.5858,0.829,2.3419,4.4932
1/22/2010,4.078,3.215,1.112,2.294,4.008,3.921,3.374,2.474,1.173,3.6071,0.7875,2.3414,4.5312
1/25/2010,4.046,3.217,1.11,2.295,4.01,3.909,3.383,2.477,1.185,3.6265,0.8117,2.3614,4.5469
1/26/2010,4.024,3.207,1.119,2.288,3.987,3.878,3.359,2.446,1.169,3.6188,0.8033,2.3411,4.5528
1/27/2010,4.086,3.2,1.131,2.287,3.959,3.882,3.353,2.457,1.216,3.6479,0.9146,2.3913,4.5627
1/28/2010,4.149,3.201,1.12,2.277,3.949,3.939,3.334,2.449,1.188,3.6344,0.8592,2.3867,4.5489
1/29/2010,4.115,3.196,1.119,2.276,3.925,3.911,3.353,2.458,1.187,3.5844,0.8118,2.3232,4.4884
2/1/2010,4.049,3.186,1.122,2.274,3.919,3.898,3.385,2.474,1.336,3.6501,0.8512,2.3734,4.5617
2/2/2010,4.056,3.195,1.127,2.281,3.929,3.913,3.374,2.449,1.291,3.6405,0.8512,2.3601,4.5588
2/3/2010,4.079,3.223,1.137,2.305,3.965,3.915,3.427,2.497,1.331,3.7047,0.875,2.4037,4.6383
2/4/2010,4.064,3.163,1.064,2.227,3.917,3.897,3.367,2.451,1.284,3.6058,0.8035,2.3,4.5499
2/5/2010,4.064,3.12,0.989,2.161,3.845,3.883,3.361,2.426,1.257,3.5654,0.7633,2.2333,4.5186
2/8/2010,4.095,3.145,0.996,2.176,3.836,3.947,3.352,2.414,1.256,3.5597,0.7632,2.2266,4.4972
2/9/2010,4.053,3.152,1.036,2.209,3.868,3.964,3.379,2.443,1.28,3.6448,0.827,2.3135,4.5835
2/10/2010,4.022,3.198,1.042,2.243,3.914,3.926,3.427,2.507,1.339,3.6897,0.875,2.3638,4.6364
2/11/2010,4.042,3.234,1.048,2.28,3.934,4.024,3.47,2.54,1.375,3.7155,0.8669,2.3639,4.6646
2/12/2010,4.055,3.192,0.983,2.218,3.917,4.042,3.463,2.523,1.341,3.6928,0.8265,2.3304,4.6463
2/15/2010,4.064,3.204,0.973,2.222,3.937,4.064,3.461,2.522,1.341,3.6909,0.8265,2.3305,4.6493
2/16/2010,4.06,3.205,0.972,2.222,3.954,4.036,3.454,2.509,1.324,3.6569,0.8022,2.3002,4.6318
2/17/2010,4.046,3.194,1.061,2.214,3.947,4.03,3.474,2.527,1.344,3.7307,0.8426,2.3845,4.6972
2/18/2010,4.068,3.251,1.076,2.26,3.993,4.098,3.491,2.565,1.38,3.8012,0.9236,2.4726,4.7309
2/19/2010,4.093,3.285,1.086,2.29,4.01,4.172,3.502,2.59,1.398,3.7726,0.9157,2.4491,4.7031
2/22/2010,4.09,3.27,1.071,2.278,4.002,4.23,3.506,2.588,1.382,3.7955,0.8831,2.4424,4.7269
2/23/2010,4.029,3.167,1.008,2.17,3.901,4.173,3.437,2.531,1.333,3.6834,0.826,2.3409,4.6298
2/24/2010,4.023,3.135,0.985,2.156,3.871,4.076,3.448,2.541,1.34,3.6909,0.8592,2.3511,4.6356
2/25/2010,4.046,3.11,0.943,2.123,3.862,4.03,3.402,2.503,1.294,3.6324,0.8197,2.3217,4.5748
2/26/2010,3.996,3.101,0.955,2.127,3.846,4.031,3.391,2.491,1.284,3.6117,0.8118,2.3018,4.5566
3/1/2010,3.977,3.108,0.946,2.125,3.876,4.076,3.403,2.529,1.352,3.6079,0.7959,2.2818,4.5576
3/2/2010,3.969,3.116,0.948,2.133,3.879,4.02,3.39,2.537,1.371,3.6041,0.7879,2.2652,4.5671
3/3/2010,3.968,3.138,0.972,2.156,3.911,4.032,3.423,2.601,1.471,3.6173,0.8036,2.2651,4.5853
3/4/2010,3.959,3.123,0.977,2.142,3.903,4.003,3.419,2.6,1.472,3.6022,0.8511,2.2717,4.5556
3/5/2010,3.955,3.156,1,2.172,3.926,4.063,3.468,2.76,1.518,3.6796,0.891,2.3382,4.6423
3/8/2010,3.954,3.165,0.999,2.176,3.939,4.099,3.504,2.799,1.543,3.7157,0.891,2.3682,4.6863
3/9/2010,3.935,3.132,0.984,2.141,3.93,4.05,3.511,2.792,1.521,3.7005,0.867,2.3348,4.6755
3/10/2010,3.933,3.153,1.01,2.158,3.946,4.075,3.537,2.818,1.544,3.7215,0.899,2.3783,4.6912
3/11/2010,3.958,3.179,1.039,2.195,3.961,4.149,3.506,2.797,1.529,3.7272,0.9473,2.4152,4.6667
3/12/2010,3.958,3.167,1.049,2.202,3.933,4.098,3.537,2.839,1.587,3.7006,0.9476,2.4051,4.6248
3/15/2010,3.952,3.155,1.034,2.185,3.929,4.064,3.495,2.801,1.568,3.6949,0.9396,2.3951,4.6267
3/16/2010,3.934,3.139,1.009,2.168,3.91,4.026,3.446,2.769,1.547,3.6493,0.9073,2.348,4.5871
3/17/2010,3.916,3.111,0.971,2.123,3.9,4.006,3.474,2.792,1.589,3.6361,0.9154,2.3614,4.566
